Message 1, RTT: 0.000000 sec
Message 2, RTT: 0.000124 sec
Message 3, RTT: 0.000000 sec
Message 4, RTT: 0.000000 sec
Message 5, RTT: 0.000000 sec
Message 6, RTT: 0.000108 sec
Message 7, RTT: 0.000000 sec
Message 8, RTT: 0.000000 sec
Message 9, RTT: 0.000998 sec
Message 10, RTT: 0.000000 sec
Message 11, RTT: 0.000000 sec
Message 12, RTT: 0.000000 sec
Message 13, RTT: 0.000042 sec
Message 14, RTT: 0.000000 sec
Message 15, RTT: 0.000000 sec
Message 16, RTT: 0.000000 sec
Message 17, RTT: 0.000153 sec
Message 18, RTT: 0.000000 sec
Message 19, RTT: 0.000000 sec
Message 20, RTT: 0.000996 sec
Message 21, RTT: 0.000216 sec
Message 22, RTT: 0.000000 sec
Message 23, RTT: 0.000000 sec
Message 24, RTT: 0.000000 sec
Message 25, RTT: 0.000000 sec
Message 26, RTT: 0.000996 sec
Message 27, RTT: 0.000000 sec
Message 28, RTT: 0.000000 sec
Message 29, RTT: 0.000000 sec
Message 30, RTT: 0.000998 sec
Message 31, RTT: 0.000000 sec
Message 32, RTT: 0.000000 sec
Message 33, RTT: 0.000000 sec
Message 34, RTT: 0.000998 sec
Message 35, RTT: 0.000000 sec
Message 36, RTT: 0.000000 sec
Message 37, RTT: 0.000000 sec
Message 38, RTT: 0.000000 sec
Message 39, RTT: 0.000000 sec
Message 40, RTT: 0.000000 sec
Message 41, RTT: 0.000186 sec
Message 42, RTT: 0.000000 sec
Message 43, RTT: 0.000000 sec
Message 44, RTT: 0.000000 sec
Message 45, RTT: 0.000071 sec
Message 46, RTT: 0.000000 sec
Message 47, RTT: 0.000000 sec
Message 48, RTT: 0.000000 sec
Message 49, RTT: 0.000190 sec
Message 50, RTT: 0.000000 sec
Message 51, RTT: 0.000000 sec
Message 52, RTT: 0.000000 sec
Message 53, RTT: 0.000000 sec
Message 54, RTT: 0.000289 sec
Message 55, RTT: 0.000000 sec
Message 56, RTT: 0.000000 sec
Message 57, RTT: 0.000000 sec
Message 58, RTT: 0.000044 sec
Message 59, RTT: 0.000000 sec
Message 60, RTT: 0.000000 sec
Message 61, RTT: 0.000000 sec
Message 62, RTT: 0.000000 sec
Message 63, RTT: 0.000000 sec
Message 64, RTT: 0.000000 sec
Message 65, RTT: 0.000000 sec
Message 66, RTT: 0.000000 sec
Message 67, RTT: 0.001002 sec
Message 68, RTT: 0.000000 sec
Message 69, RTT: 0.000000 sec
Message 70, RTT: 0.000000 sec
Message 71, RTT: 0.000000 sec
Message 72, RTT: 0.000000 sec
Message 73, RTT: 0.000000 sec
Message 74, RTT: 0.000000 sec
Message 75, RTT: 0.000000 sec
Message 76, RTT: 0.000000 sec
Message 77, RTT: 0.000000 sec
Message 78, RTT: 0.000000 sec
Message 79, RTT: 0.000000 sec
Message 80, RTT: 0.000000 sec
Message 81, RTT: 0.000000 sec
Message 82, RTT: 0.000000 sec
Message 83, RTT: 0.000000 sec
Message 84, RTT: 0.000000 sec
Message 85, RTT: 0.000000 sec
Message 86, RTT: 0.000000 sec
Message 87, RTT: 0.000000 sec
Message 88, RTT: 0.000000 sec
Message 89, RTT: 0.000000 sec
Message 90, RTT: 0.000000 sec
Message 91, RTT: 0.000000 sec
Message 92, RTT: 0.000000 sec
Message 93, RTT: 0.000000 sec
Message 94, RTT: 0.001022 sec
Message 95, RTT: 0.000000 sec
Message 96, RTT: 0.000000 sec
Message 97, RTT: 0.000000 sec
Message 98, RTT: 0.000000 sec
Message 99, RTT: 0.000000 sec
Message 100, RTT: 0.000000 sec
0 sec
Sent: Message 85, RTT: 0.001000 sec
Sent: Message 86, RTT: 0.000000 sec
Sent: Message 87, RTT: 0.000000 sec
Sent: Message 88, RTT: 0.000000 sec
Sent: Message 89, RTT: 0.000994 sec
Sent: Message 90, RTT: 0.000000 sec
Sent: Message 91, RTT: 0.000000 sec
Sent: Message 92, RTT: 0.000000 sec
Sent: Message 93, RTT: 0.000000 sec
Sent: Message 94, RTT: 0.000000 sec
Sent: Message 95, RTT: 0.000000 sec
Sent: Message 96, RTT: 0.000000 sec
Sent: Message 97, RTT: 0.000998 sec
Sent: Message 98, RTT: 0.000000 sec
Sent: Message 99, RTT: 0.000000 sec
Sent: Message 100, RTT: 0.000000 sec
